dataset,group,scene,crop,method,zone,solver_status,predicted_radius_px,hand_reference_radius_px,absolute_drift_px,normalized_drift,within_one_ring,boundary_available,zone_geometry_available,retained_mask_fraction,parameter_json,evaluation_version
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P100,CoreZone,exact,72.0,199.060292374,127.060292374,0.547922629043,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P100,DenseZone,exact,200.0,198.494332413,1.50566758721,0.00649289661966,True,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P100,SparseZone,exact,258.451155927,231.894588102,26.5565678245,0.114519998254,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Retuned P95,CoreZone,exact,48.0,199.060292374,151.060292374,0.651417929198,False,True,True,0.950008889357,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Retuned P95,DenseZone,exact,96.0,198.494332413,102.494332413,0.441986737386,False,True,True,0.950008889357,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Retuned P95,SparseZone,exact,224.243171579,231.894588102,7.65141652304,0.0329952354027,True,True,True,0.950008889357,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Retuned P100,CoreZone,exact,48.0,199.060292374,151.060292374,0.651417929198,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Retuned P100,DenseZone,exact,216.0,198.494332413,17.5056675872,0.0754897633897,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Retuned P100,SparseZone,exact,258.451155927,231.894588102,26.5565678245,0.114519998254,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Legacy control,CoreZone,legacy,79.4810414964,209.611545484,130.130503987,0.52153854649,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
