degree,scope,n_patches,median_dE00,q25,q75,iqr_dE00,mean_dE00,sd_dE00,n_permutations,frac_underdetermined,median_rank,median_cond,n_terms
3,cross-frame,19,3.7317745093,3.34410784794,4.37665639072,1.03254854279,3.89293148418,0.711693168768,30,0.0,13.0,176512.789413,13
3,cross-frame,18,4.32754289367,3.55476285956,5.23823140521,1.68346854565,4.72000488094,1.69417079779,30,0.0,13.0,215131.195514,13
3,cross-frame,17,4.57747277037,3.83053742359,6.32610911803,2.49557169444,5.24567653968,2.03346454717,30,0.0,13.0,244317.759068,13
3,cross-frame,16,5.732592847,4.66683187778,7.65512351626,2.98829163848,6.45047056129,2.5206700291,30,0.0,13.0,758831.745238,13
3,cross-frame,15,7.60929963152,5.39805607275,12.5146734517,7.11661737891,8.99630941079,4.50780446135,30,0.0,13.0,1607658.98375,13
3,cross-frame,14,10.9258491624,7.57630417602,17.4255387471,9.84923457111,13.743803512,8.74579732744,30,0.0,13.0,3966657.92756,13
3,cross-frame,13,20.2797444352,14.6462913172,32.1941931082,17.547901791,21.862219311,10.2153612782,30,0.0,13.0,22098808.8973,13
3,cross-frame,12,18.8435280457,11.8350223545,22.4279188042,10.5928964497,19.131694646,9.62173737622,30,1.0,12.0,5711168.63051,13
3,cross-frame,11,17.4507084738,8.64520601733,20.4727680835,11.8275620661,16.4588358192,8.68311096718,30,1.0,11.0,1686318.21564,13
3,cross-frame,10,17.9749979847,9.07520525124,21.9471848316,12.8719795804,17.1151800631,8.70146578368,30,1.0,10.0,309150.919047,13
3,cross-frame,9,12.4068811158,7.04124200704,21.7312223583,14.6899803512,14.980804838,8.94384403513,30,1.0,9.0,46620.5817199,13
3,cross-frame,8,10.1416205447,6.52660100456,19.8955727836,13.368971779,13.5129386388,8.2625166357,30,1.0,8.0,28295.4594791,13
3,cross-frame,7,9.62911577383,5.35833167907,21.2355370505,15.8772053715,13.6379702477,8.87513101517,30,1.0,7.0,2561.18631136,13
3,cross-frame,6,7.99634283551,5.25195300958,18.5561594336,13.304206424,12.2879321534,8.20998195663,30,1.0,6.0,728.734870793,13
3,same-image,24,1.96233963951,1.96233963951,1.96233963951,0.0,1.96233963951,0.0,30,0.0,13.0,95474.499094,13
3,same-image,23,2.08810464074,1.97123670704,2.22473665314,0.253499946102,2.12305610721,0.161494506517,30,0.0,13.0,98135.6622225,13
3,same-image,22,2.23535409672,2.07651013181,2.39548275246,0.318972620647,2.30619928706,0.348191212682,30,0.0,13.0,100283.459176,13
3,same-image,21,2.31118919994,2.12429784552,2.50994382824,0.385645982717,2.39525422661,0.371178218443,30,0.0,13.0,108649.70036,13
3,same-image,20,2.43269345023,2.20460124888,2.89108167778,0.686480428904,2.63033691998,0.582061526598,30,0.0,13.0,123844.970414,13
3,same-image,19,2.64903507497,2.32230943661,3.29040972582,0.968100289201,2.84209177453,0.681638738975,30,0.0,13.0,176512.789413,13
3,same-image,18,3.34128675082,2.49077108936,4.13835120392,1.64758011457,3.6404571251,1.62527582572,30,0.0,13.0,215131.195514,13
3,same-image,17,3.50173105318,2.77117426451,5.30048402657,2.52930976207,4.16756197239,1.97385759232,30,0.0,13.0,244317.759068,13
3,same-image,16,4.66249260387,3.54337676983,6.63290229763,3.0895255278,5.349725667,2.44408519824,30,0.0,13.0,758831.745238,13
3,same-image,15,6.45317919579,4.37278865034,11.4421936502,7.0694049999,7.69781797383,4.22427744518,30,0.0,13.0,1607658.98375,13
3,same-image,14,9.77830259819,6.44054916688,15.3776098301,8.93706066324,12.0546041722,7.95369697214,30,0.0,13.0,3966657.92756,13
3,same-image,13,17.3136912762,13.4609719571,30.4470657249,16.9860937677,19.6062953911,9.56346445829,30,0.0,13.0,22098808.8973,13
3,same-image,12,17.4579503553,10.6144863723,19.8438398877,9.22935351543,17.2504381917,8.75839749648,30,1.0,12.0,5711168.63051,13
3,same-image,11,16.2664686965,7.64134349386,18.7036634204,11.0623199265,14.9113527364,8.00450243177,30,1.0,11.0,1686318.21564,13
3,same-image,10,16.4274139587,8.27335517051,20.3903272727,12.1169721022,15.7328709901,8.17449511697,30,1.0,10.0,309150.919047,13
3,same-image,9,11.5064445628,6.3481856284,20.2136107093,13.8654250809,13.8015849647,8.29665824353,30,1.0,9.0,46620.5817199,13
3,same-image,8,9.48441403293,5.86667607198,18.7847762335,12.9181001616,12.4437769405,7.6495876939,30,1.0,8.0,28295.4594791,13
3,same-image,7,8.88974423479,4.66768672476,20.2060002444,15.5383135196,12.7360297925,8.5433950933,30,1.0,7.0,2561.18631136,13
3,same-image,6,7.38092683203,4.69816387817,17.7791227423,13.0809588641,11.6091191905,8.12335261061,30,1.0,6.0,728.734870793,13
