dataset,crop,short_crop,variant_key,variant_label,success,detected_pixels,containment,qualitative_recall,q95_enclosure_ratio,group_label,absolute_q95_error
NeurosporaMenadione,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj3,local_contrast,+ Local contrast,True,38930,0.709709735423,0.973503400162,1.93055232127,Neurospora crassa | menadione,0.930552321274
NeurosporaMenadione,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj3,monogenic_pc,+ Monogenic PC,True,32640,0.771354166667,0.887107571967,1.85340613049,Neurospora crassa | menadione,0.853406130493
NeurosporaMenadione,Image29_obj4_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj4,current,Current,True,47492,0.875726438137,0.985685168507,1.06858916266,Neurospora crassa | menadione,0.0685891626643
NeurosporaMenadione,Image29_obj4_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj4,unsharp,+ Unsharp,True,45497,0.910279798668,0.981537659383,1.04475653293,Neurospora crassa | menadione,0.0447565329304
NeurosporaMenadione,Image29_obj4_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj4,local_contrast,+ Local contrast,True,48410,0.864015699236,0.991302080865,1.07266675682,Neurospora crassa | menadione,0.0726667568208
NeurosporaMenadione,Image29_obj4_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj4,monogenic_pc,+ Monogenic PC,True,40896,0.917033450704,0.888823055411,1.0495165803,Neurospora crassa | menadione,0.0495165802992
NeurosporaXylan,Image29_obj1_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj1,current,Current,True,18271,0.986864429971,0.193575745864,0.826818558818,Neurospora crassa | xylan,0.173181441182
NeurosporaXylan,Image29_obj1_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj1,unsharp,+ Unsharp,True,6040,1.0,0.0648437416127,0.357574488282,Neurospora crassa | xylan,0.642425511718
NeurosporaXylan,Image29_obj1_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj1,local_contrast,+ Local contrast,True,27971,0.994851810804,0.298742847327,0.783275619151,Neurospora crassa | xylan,0.216724380849
NeurosporaXylan,Image29_obj1_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj1,monogenic_pc,+ Monogenic PC,True,44964,0.951227648786,0.459177429225,1.07956154149,Neurospora crassa | xylan,0.0795615414884
NeurosporaXylan,Image29_obj2_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj2,current,Current,True,19857,0.978899128771,0.334653260795,0.952129712911,Neurospora crassa | xylan,0.0478702870888
NeurosporaXylan,Image29_obj2_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj2,unsharp,+ Unsharp,True,13723,0.990818334183,0.234092004683,0.909063969252,Neurospora crassa | xylan,0.0909360307476
NeurosporaXylan,Image29_obj2_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj2,local_contrast,+ Local contrast,True,25467,0.983979267287,0.431426898974,0.936361660057,Neurospora crassa | xylan,0.0636383399433
NeurosporaXylan,Image29_obj2_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj2,monogenic_pc,+ Monogenic PC,True,27212,0.934477436425,0.437796983679,1.0627032529,Neurospora crassa | xylan,0.0627032528964
NeurosporaXylan,Image29_obj3_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj3,current,Current,True,42259,0.987576610899,0.429362139918,0.980570233103,Neurospora crassa | xylan,0.0194297668966
NeurosporaXylan,Image29_obj3_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj3,unsharp,+ Unsharp,True,25367,0.994481018646,0.259537037037,0.873755855302,Neurospora crassa | xylan,0.126244144698
NeurosporaXylan,Image29_obj3_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj3,local_contrast,+ Local contrast,True,50685,0.991713524711,0.51712962963,0.944650476245,Neurospora crassa | xylan,0.0553495237551
NeurosporaXylan,Image29_obj3_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj3,monogenic_pc,+ Monogenic PC,True,50795,0.95727925977,0.500257201646,1.03122921659,Neurospora crassa | xylan,0.0312292165897
NeurosporaXylan,Image29_obj4_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj4,current,Current,True,11882,0.997895977108,0.16804852814,0.869401270641,Neurospora crassa | xylan,0.130598729359
NeurosporaXylan,Image29_obj4_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj4,unsharp,+ Unsharp,True,14261,0.980015426688,0.198080984169,0.932630974438,Neurospora crassa | xylan,0.0673690255618
NeurosporaXylan,Image29_obj4_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj4,local_contrast,+ Local contrast,True,15092,0.99801219189,0.213472795045,0.895198501045,Neurospora crassa | xylan,0.104801498955
NeurosporaXylan,Image29_obj4_d000273_300_001_2025-12-12_03-00-49_rgb,Image29_obj4,monogenic_pc,+ Monogenic PC,True,16995,0.964695498676,0.232365321655,0.930330554549,Neurospora crassa | xylan,0.0696694454507
