,ObjectLabel,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_ColNum,Grid_SectionNum,Size_Area,Size_IntegratedIntensity
21,22,373.046233766,542.851948052,347,519,400,565,1,2,14,1925.0,783.199458431
22,23,382.290955906,180.878661088,351,150,415,212,1,0,12,3107.0,1324.47629882
23,24,533.412565142,185.318181818,501,153,567,218,2,0,24,3454.0,1493.72781843
24,25,532.105840594,378.296224589,502,348,564,409,2,1,25,3099.0,1369.22384471
25,26,531.699926362,705.734536082,503,678,562,734,2,3,27,2716.0,1195.45154941
26,27,529.880172414,1685.92586207,503,1660,558,1713,2,9,33,2320.0,999.548494118
27,28,530.394214162,1522.23618307,504,1497,558,1549,2,8,32,2316.0,992.912133333
28,29,530.580934403,1847.73289287,505,1824,557,1873,2,10,34,2119.0,883.920745882
29,30,531.824434389,2012.32171946,505,1988,559,2038,2,11,35,2210.0,920.705510588
30,31,530.892401553,869.268996118,506,848,556,892,2,4,28,1803.0,759.116264706
31,32,530.371880706,1358.48265368,507,1336,556,1380,2,7,31,1643.0,663.423103922
32,33,530.477601156,1195.93063584,511,1176,552,1216,2,6,30,1384.0,530.54820549
33,34,542.090909091,1044.0630063,524,1026,562,1063,2,5,29,1111.0,453.312649804
34,35,666.30887574,1185.8591716,643,1165,690,1208,3,6,42,1690.0,691.437561176
35,36,676.258892556,1350.86982032,647,1324,707,1379,3,7,43,2727.0,1155.82779294
36,37,680.246088193,379.518349929,648,348,714,413,3,1,37,3515.0,1590.67079137
37,38,679.843493761,868.958645276,650,841,712,898,3,4,40,2805.0,1183.54922549
38,39,679.746273953,1033.79063165,650,1006,711,1063,3,5,41,2818.0,1266.87639255
39,40,679.91983556,1684.62726961,650,1656,711,1714,3,9,45,2919.0,1286.16536275
40,41,678.771322621,1847.07704986,650,1822,708,1874,3,10,46,2427.0,1052.45967843
41,42,680.887822634,541.56982131,651,513,713,572,3,2,38,3022.0,1282.09386314
42,43,678.666829985,2009.86869182,653,1986,706,2034,3,11,47,2041.0,898.45876549
43,44,686.818105381,196.15779148,655,163,722,230,3,0,36,3568.0,1621.41548118
44,45,690.601685178,714.470317886,663,688,720,742,3,3,39,2611.0,1093.69266863
45,46,703.313664596,1513.95807453,675,1487,733,1542,3,8,44,2576.0,1097.32946157
46,47,851.15942928,2013.19385856,819,1983,884,2044,4,11,59,3224.0,1468.9631251
47,48,851.705196182,871.574407918,822,844,883,901,4,4,52,2829.0,1218.42833961
48,49,851.596194503,1047.27906977,822,1019,883,1077,4,5,53,2838.0,1238.72635059
49,50,851.86529372,1686.89264011,822,1658,884,1717,4,9,57,2962.0,1316.92901843
50,51,851.947259992,1360.41203131,825,1335,881,1387,4,7,55,2427.0,1034.91604196
51,52,852.605119597,546.485102812,826,520,881,574,4,2,50,2383.0,1015.54193647
52,53,855.632602546,723.839462518,826,695,888,753,4,3,51,2828.0,1218.24488941
53,54,852.233780761,1197.60123043,830,1175,877,1221,4,6,54,1788.0,686.577075294
54,55,851.803698435,184.715504979,832,161,874,209,4,0,48,1406.0,519.471562353
55,56,853.018076178,389.459651388,833,366,877,418,4,1,49,1549.0,561.620580784
56,57,863.036258158,1855.23930384,834,1827,894,1884,4,10,58,2758.0,1242.69330039
57,58,988.333720593,1523.3848388,955,1492,1022,1556,5,8,68,3443.0,1540.24905137
58,59,988.765395014,1686.47521778,956,1655,1022,1718,5,9,69,3329.0,1470.03202196
59,60,988.169251517,1849.80748483,957,1821,1020,1880,5,10,70,2966.0,1352.53172745
60,61,987.632212389,2005.18300885,957,1977,1019,2034,5,11,71,2825.0,1222.92410549
61,62,990.893638171,383.872763419,961,354,1022,414,5,1,61,3018.0,1341.63267412
62,63,975.194225722,545.476377953,961,526,989,565,5,2,62,762.0,294.362806667
