DetectorLabel,GridSection,ZonesComputed,CoreEndRadius,OuterRadius,Sigma8_ValidPixels,Sigma8_Median,Sigma8_P90,Sigma8_P95,Sigma8_RawPeak,Sigma8_FractionAbove3,Sigma16_ValidPixels,Sigma16_Median,Sigma16_P90,Sigma16_P95,Sigma16_RawPeak,Sigma16_FractionAbove3,P95PersistenceRatio16to8
50,49,True,47.2253392525,141.859857646,11141,0.676282931493,2.64300316268,3.81224026876,12.07074394,0.0791670406606,10462,0.326135587197,1.07101431382,1.62399770393,5.87115217887,0.0124259223858,0.425995632341
51,50,True,96.6750826299,154.704623578,3956,0.503513305741,1.7903381333,2.93517187246,13.7515936955,0.0467644084934,3923,0.333520900635,0.849890336852,1.39381579904,3.40744427835,0.00739230180984,0.474866842422
52,51,True,32.7916602263,103.215280636,6894,0.793424414659,2.54251569194,3.44128210682,11.7350123367,0.064258775747,6648,0.390455564706,0.807092678046,0.992856939437,5.63243468657,0.0076714801444,0.288513672701
53,52,True,35.913778313,139.798291325,14581,0.725651973712,2.19707054843,3.34915062997,14.5846819229,0.0579521294836,14399,0.339477457786,1.20892935179,1.59176602026,6.61878934464,0.00645878185985,0.47527453857
54,53,True,59.4416801569,137.011172537,8223,0.622373877754,2.09692787189,3.16726346894,18.4146399722,0.0543597227289,8259,0.413350206582,1.34219797772,1.8817392763,4.5603278462,0.0100496428139,0.594121485237
55,54,True,40.9447090882,163.577069022,20942,0.736683478307,2.61790025595,3.59336868674,16.7996038504,0.075064463757,20642,0.425047835053,1.26324080647,1.79334783245,6.2998839337,0.0131770177308,0.49907148105
56,55,True,3.02142914709,18.6433759097,472,0.625844514676,1.46749183849,1.60556203542,1.83195282489,0.0,472,0.250587816747,0.350366485888,0.362874317388,0.400975313538,0.0,0.226010773414
57,56,True,66.6123728412,152.488414163,5714,0.604170208124,1.78096940311,2.34779844422,10.2704341754,0.0248512425621,5695,0.376502016407,1.13951731454,1.74765530448,3.89974171102,0.00684811237928,0.744380467913
58,57,True,0.0,81.3164807342,0,,,,,,0,,,,,,
59,58,True,50.5088060899,144.532034396,6526,0.515894980087,1.72156995823,2.35222164109,12.3993337118,0.02865461232,6572,0.339970002529,0.929687122352,1.21611022496,4.91867634377,0.0030432136336,0.517004947032
60,59,True,117.989329174,117.989329174,0,,,,,,0,,,,,,
