Colony,Policy,PointID,Ring,Status,ParentID,DistancePx,AxialDeltaDeg,PredictionResidualDeg,SignedStepDeg,UnwrappedFiberAxisDeg,CumulativeSignedDeg,CumulativeAbsoluteDeg,NormalizedCost
R3C4,reciprocal_one_to_one,127,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,128,3,matched,87.0,9.083847849,-13.8315490263,-6.62402827823,-13.8315490263,-20.6790638711,-19.5803801538,22.497759395,0.56464723732
R3C4,reciprocal_one_to_one,129,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,130,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,131,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,132,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,133,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,134,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,135,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,136,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,137,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,138,3,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,139,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,140,3,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,141,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,142,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,143,3,matched,105.0,8.50066245939,1.59220324294,-1.23820392828,1.59220324294,-55.7724848362,-1.24693682254,10.0921576509,0.0819719453528
R3C4,reciprocal_one_to_one,144,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,145,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,146,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,147,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,148,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,149,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,150,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,151,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,152,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,153,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,154,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,155,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,156,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,157,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,158,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,159,4,inner_ambiguity,,,,,,,,,
R3C4,reciprocal_one_to_one,160,4,inner_ambiguity,,,,,,,,,
R3C4,reciprocal_one_to_one,161,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,162,4,inner_ambiguity,,,,,,,,,
R3C4,reciprocal_one_to_one,163,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,164,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,165,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,166,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,167,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,168,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,169,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,170,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,171,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,172,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,173,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,174,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,175,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,176,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,177,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,178,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,179,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,180,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,181,4,matched,143.0,7.83951461318,-4.29820457897,-5.89040782191,-4.29820457897,-60.0706894152,-5.54514140151,14.3903622298,0.110513041742
R3C4,reciprocal_one_to_one,182,4,no_candidate,,,,,,,,,
